LLM_Input
"The Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 4a (5G) (Workplace) has a total estimated carbon footprint of 65.0 kgCO₂eq over its 3.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 7.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs 0.171 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 4a (Workplace) has a total estimated carbon footprint of 45.0 kgCO₂eq over its 3.0 years of use. About 21.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 6.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 73.00% to the total emissions. The device weighs 0.143 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 5 (Workplace) has a total estimated carbon footprint of 85.0 kgCO₂eq over its 3.0 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 8.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 79.00% to the total emissions. The device weighs 0.151 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 5a with 5G (Workplace) has a total estimated carbon footprint of 60.0 kgCO₂eq over its 3.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 7.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 6 Pro (Workplace) has a total estimated carbon footprint of 95.0 kgCO₂eq over its 3.0 years of use. About 13.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 8.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 82.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 6 (Workplace) has a total estimated carbon footprint of 85.0 kgCO₂eq over its 3.0 years of use. About 14.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 8.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 81.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 6a (Workplace) has a total estimated carbon footprint of 65.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 7.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 81.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 7 Pro (Workplace) has a total estimated carbon footprint of 85.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 8.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel 7 (Workplace) has a total estimated carbon footprint of 70.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 6.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel Slate (Workplace) has a total estimated carbon footprint of 135.0 kgCO₂eq over its 3.0 years of use. About 32.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 27.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 60.00% to the total emissions. The device weighs 0.731 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixel Watch (Workplace) has a total estimated carbon footprint of 25.0 kgCO₂eq over its 3.0 years of use. About 12.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 2.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 78.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixelbook Go (Workplace) has a total estimated carbon footprint of 195.0 kgCO₂eq over its nan years of use. About 13.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 82.00% to the total emissions. The device weighs 1.056 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Pixelbook (Workplace) has a total estimated carbon footprint of 200.6 kgCO₂eq over its 4.0 years of use. About 37.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 52.20% to the total emissions. The device weighs 1.1 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Stadia Controller (Home) has a total estimated carbon footprint of 20.0 kgCO₂eq over its 4.0 years of use. About 11.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 1.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 84.00% to the total emissions. The device weighs 0.268 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Google Wifi (Home) has a total estimated carbon footprint of 90.0 kgCO₂eq over its 4.0 years of use. About 74.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 31.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 24.00% to the total emissions. The device weighs 0.34 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 11 inch Tablet PC (Workplace) has a total estimated carbon footprint of 182.0 kgCO₂eq over its 4.0 years of use. About 21.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.86 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 73.00% to the total emissions. The device weighs 0.858 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 14 inch 4G LTE Laptop PC (Workplace) has a total estimated carbon footprint of 197.0 kgCO₂eq over its 4.0 years of use. About 14.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.48 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 81.00% to the total emissions. The device weighs 1.4 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 14s Laptop PC ENERGY STAR (Workplace) has a total estimated carbon footprint of 211.0 kgCO₂eq over its 4.0 years of use. About 20.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 19.93 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 75.00% to the total emissions. The device weighs 1.6 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 15 Laptop PC ENERGY STAR (Workplace) has a total estimated carbon footprint of 231.0 kgCO₂eq over its 4.0 years of use. About 18.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 19.76 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 76.00% to the total emissions. The device weighs 2.1 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 15 Laptop PC (Workplace) has a total estimated carbon footprint of 228.0 kgCO₂eq over its 4.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.54 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 77.00% to the total emissions. The device weighs 2.1 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 17 Laptop PC (Workplace) has a total estimated carbon footprint of 310.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 23.24 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.48 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 250 G9 Notebook PC (Workplace) has a total estimated carbon footprint of 194.0 kgCO₂eq over its 4.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.06 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 73.00% to the total emissions. The device weighs 2.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 255 G9 Notebook PC (Workplace) has a total estimated carbon footprint of 230.0 kgCO₂eq over its 4.0 years of use. About 18.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.81 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 75.00% to the total emissions. The device weighs 2.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 256 G9 Notebook PC (Workplace) has a total estimated carbon footprint of 194.0 kgCO₂eq over its 4.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.06 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 73.00% to the total emissions. The device weighs 2.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP 470 G8 Notebook PC (Workplace) has a total estimated carbon footprint of 360.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.84 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.49 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook 11a (Workplace) has a total estimated carbon footprint of 174.0 kgCO₂eq over its 4.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.08 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 76.00% to the total emissions. The device weighs 1.3 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook 14a (Workplace) has a total estimated carbon footprint of 310.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.59 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.61 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook 14b (Workplace) has a total estimated carbon footprint of 184.0 kgCO₂eq over its 4.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.19 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 79.00% to the total emissions. The device weighs 1.7 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook Enterprise 11 G9 EE (Workplace) has a total estimated carbon footprint of 295.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 11.31 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.45 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook Enterprise 14 G7 (Workplace) has a total estimated carbon footprint of 305.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.36 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.72 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook Enterprise x360 11 G4 EE (Workplace) has a total estimated carbon footprint of 300.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.1 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.722 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook x2 11 (Workplace) has a total estimated carbon footprint of 174.0 kgCO₂eq over its 4.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.08 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 76.00% to the total emissions. The device weighs 1.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook x360 14a (Workplace) has a total estimated carbon footprint of 315.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.74 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.66 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook x360 14b (Workplace) has a total estimated carbon footprint of 315.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.16 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.81 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Chromebook x360 14c Notebook PC (Workplace) has a total estimated carbon footprint of 315.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.34 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.82 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E14 G4 Portable Monitor (Workplace) has a total estimated carbon footprint of 480.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.45 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 0.6 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E22 G4 FHD monitor (Workplace) has a total estimated carbon footprint of 555.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 31.9 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.79 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E22 G4 (Workplace) has a total estimated carbon footprint of 555.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 31.9 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.79 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E23 G4 FHD Monitor (Workplace) has a total estimated carbon footprint of 570.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 40.23 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.8 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E230t 23 inch Display (Workplace) has a total estimated carbon footprint of 260.0 kgCO₂eq over its 5.0 years of use. About 59.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 57.52 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 39.00% to the total emissions. The device weighs 5.4 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24 G4 FHD Monitor (Workplace) has a total estimated carbon footprint of 565.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.83 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.98 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24 G4 HO DUAL (Workplace) has a total estimated carbon footprint of 545.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.83 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 3.64 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24 G4 HO (Workplace) has a total estimated carbon footprint of 545.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.83 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 3.64 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24i G4 HO (Workplace) has a total estimated carbon footprint of 565.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.01 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.44 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24i G4 WUXGA Monitor (Workplace) has a total estimated carbon footprint of 565.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.01 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.44 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24m G4 FHD USB-C Conferencing Monitor (Workplace) has a total estimated carbon footprint of 286.0 kgCO₂eq over its 5.0 years of use. About 41.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 43.74 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 57.00% to the total emissions. The device weighs 7.4 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24mv G4 Collaboration Monitor (Workplace) has a total estimated carbon footprint of 286.0 kgCO₂eq over its 5.0 years of use. About 41.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.96 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 57.00% to the total emissions. The device weighs 0.5 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24q G4 QHD Monitor (Workplace) has a total estimated carbon footprint of 585.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 41.0 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.234 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24t G4 FHD Touch Monitor (Workplace) has a total estimated carbon footprint of 575.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 39.0 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.22 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E24u G4 FHD USB-C Monitor (Workplace) has a total estimated carbon footprint of 605.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 45.88 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.44 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E27 G4 FHD Monitor (Workplace) has a total estimated carbon footprint of 580.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.5 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 7.65 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E27m G4 QHD USB-C Conferencing Monitor (Workplace) has a total estimated carbon footprint of 379.0 kgCO₂eq over its 5.0 years of use. About 48.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 68.86 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 50.00% to the total emissions. The device weighs 8.37 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E27q G4 QHD Monitor (Workplace) has a total estimated carbon footprint of 620.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 49.0 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 7.65 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E27u G4 QHD USB-C Monitor (Workplace) has a total estimated carbon footprint of 665.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 58.4 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 7.74 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP E34m G4 WQHD Curved USB-C Conferencing Monitor (Workplace) has a total estimated carbon footprint of 491.0 kgCO₂eq over its 5.0 years of use. About 53.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 96.65 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 45.00% to the total emissions. The device weighs 12.18 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Edgeline EL8000 Converged Edge System4 (Datacenter) has a total estimated carbon footprint of 10100.0 kgCO₂eq over its 4.0 years of use. About 91.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 1629.36 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 7.50% to the total emissions. The device weighs 3.6 kg and has 8.0GB RAM, 0 SSD storage, and 1.0 CPUs. For servers, the type is nan, with a height of nanU."
"The HP Edgeline EL8000t Converged Edge System4 (Datacenter) has a total estimated carbon footprint of 8700.0 kgCO₂eq over its 4.0 years of use. About 89.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 1374.9 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 9.00% to the total emissions. The device weighs 3.6 kg and has 8.0GB RAM, 0 SSD storage, and 1.0 CPUs. For servers, the type is nan, with a height of nanU."
"The HP Elite Tower 880 G9 Desktop PC (Workplace) has a total estimated carbon footprint of 894.0 kgCO₂eq over its 5.0 years of use. About 30.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 100.0 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 70.00% to the total emissions. The device weighs 0.8 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Elite x2 G8 (Workplace) has a total estimated carbon footprint of 300.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.96 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.1 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 645 14 inch G9 Notebook PC (Workplace) has a total estimated carbon footprint of 166.0 kgCO₂eq over its 4.0 years of use. About 22.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.21 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 71.00% to the total emissions. The device weighs 0.7 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 655 15.6 inch G9 Notebook PC (Workplace) has a total estimated carbon footprint of 175.0 kgCO₂eq over its 4.0 years of use. About 21.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.93 kWh. The device is used mainly in North America and was assembled in China. The manufacturing phase contributes 71.00% to the total emissions. The device weighs 1.9 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 835 G8 Notebook PC (Workplace) has a total estimated carbon footprint of 335.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 21.2 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.58 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 840 Aero G8 Notebook PC (Workplace) has a total estimated carbon footprint of 345.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 20.04 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.43 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 845 G8 Notebook PC (Workplace) has a total estimated carbon footprint of 330.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.55 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.74 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook 855 G8 Notebook PC (Workplace) has a total estimated carbon footprint of 355.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 20.83 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.04 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP EliteBook x360 1040 G8 Notebook PC (Workplace) has a total estimated carbon footprint of 325.0 kgCO₂eq over its 4.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 19.25 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.625 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Engage Go 10 Mobile System (Workplace) has a total estimated carbon footprint of 179.0 kgCO₂eq over its 4.0 years of use. About 17.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.45 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes 77.00% to the total emissions. The device weighs 2.05 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Engage One 14 nostand (Workplace) has a total estimated carbon footprint of 440.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.74 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.17 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Engage One 14 withstand (Workplace) has a total estimated carbon footprint of 440.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.74 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.17 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The HP Engage One 14t Nostand (Workplace) has a total estimated carbon footprint of 450.0 kgCO₂eq over its 5.0 years of use. About nan% of this impact comes from the usage phase, with an estimated yearly energy demand of 20.37 kWh. The device is used mainly in Worldwide and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.46 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
